,y_test,y_pred
4087,268212,265372.0775318912
6291,491493,487950.251042957
9329,418695,433511.21851237013
2802,159583,162647.9312773713
5939,1071778,1040167.9111111112
2605,302247,295882.50211594714
9531,386636,384617.11547619046
3163,229651,231329.1827300246
9248,231512,231586.43135702264
13045,143651,141575.57348484852
3276,374293,382784.82313202077
13185,210799,205170.8611111111
1153,288718,297705.08240740746
1861,198650,171219.93629232896
4373,305423,293405.86141585984
6258,395975,461017.34843117924
12569,335743,342856.0
2810,188076,197001.72823237994
1556,114994,113804.97472688531
12661,63809,64685.5875
11019,133662,133399.65
11977,157736,158864.47999999998
5449,108100,116350.50089225589
6530,309605,303079.98141959443
2916,245201,241170.47121284672
4938,219807,216221.0361192269
10273,90520,81388.20277777777
8849,225156,219230.9086970102
11527,75280,94406.73333333334
3318,66194,66122.37761622298
11956,147227,145826.69916341436
4590,113498,126948.41218682335
1461,493629,466378.71390479326
2953,316690,395183.4268516651
4770,304681,326584.9587191342
10698,133568,135308.26666666666
4589,112094,137682.96329793448
12916,321088,321004.4666666667
6409,167426,161231.647726236
13131,192511,190236.3055122284
4704,217821,217533.6334862962
4250,100147,99434.31321693638
10015,182302,179106.3369047619
7576,96576,95509.50417147667
11343,129243,130171.90673641177
9757,393894,400401.8333333333
3135,192632,213375.73779922028
13223,252533,251586.56666666668
9293,413813,428416.2652351531
1953,451966,485110.1161375661
745,304015,294775.6666666667
5931,941251,1043466.6666666666
5834,506469,544453.1333333333
950,83264,87523.33416780703
2351,297565,358267.99083222967
9913,1116111,1102378.8666666667
13467,179900,177934.23253968253
1074,181653,190165.25571428568
13077,180778,180828.16113895847
62,178339,206613.66666666666
8530,181962,187759.57857142857
5478,155872,151522.21347040797
13194,223210,223390.63333333333
683,194320,190912.40333333332
5725,182695,192833.5
3997,168389,154310.97603588394
13524,241061,242663.40666666668
7282,71397,72584.51702380953
6307,511260,499478.71317435586
7184,503813,510366.3
10912,56079,54424.01873737374
7159,392126,423104.3772127314
1651,264642,275912.67855750484
12738,159843,162656.01944444448
515,166508,168149.5777777778
4398,271765,292498.5036808171
4929,208096,196361.57656757982
10881,48398,48201.86444444445
5540,295199,287070.5217783728
11754,48500,49470.010925925926
11270,129295,127225.6712962963
1650,263864,282826.35183528264
10895,50873,51865.5
6532,313346,324519.56169540435
8031,434882,436913.55226346204
4703,216815,222476.54454832466
13215,242531,243795.2
3834,601380,621532.4476479077
6825,223984,236161.44290033556
6838,243277,247827.44230374863
1322,239703,236616.07720658972
9866,879566,898556.0583333333
8472,90572,92467.81319674877
8091,670081,665355.218004038
3412,195298,168382.29301587303
1131,224321,258567.27428710664
375,84058,92902.23333333334
4516,451900,453076.1064485506
12416,147666,132308.87095959595
5737,198312,198113.84444444446
13384,172699,170783.51888888888
8402,526415,506203.21651022654
604,92248,89561.07422658618
12630,476545,476352.27111111116
3370,102701,101507.483622468
9748,378992,372997.86666666664
11050,129810,128671.66974747476
599,305882,292213.7
12414,147316,133379.4042929293
13311,79635,82907.03791666667
7870,150026,132973.02925735485
2043,780638,746537.1752687774
11562,137765,123047.16666666667
4078,314029,305073.838109985
9479,332846,321417.18333333335
2395,365096,423793.9450828638
8650,243568,232346.92008627902
10676,126767,126863.89166666666
4382,298900,291918.49076538824
4463,393544,435663.8944170635
4380,306896,293520.363638082
13385,174231,179405.98333333334
2968,382086,401044.42929501424
9434,248523,248713.43333333332
9252,239893,232292.07621963223
4699,210964,217135.69822412732
